ID,RA,DEC,X,Y,FLUX_AUTO
59,248.9019171,-11.7341871,621.0594,826.4336,2432.138
60,248.9082907,-11.7330217,571.7814,817.9700,5985.928
61,248.9023683,-11.7326184,617.4001,814.1260,11305.12
62,248.8630072,-11.7326517,920.9046,809.9805,9928.504
63,248.9417750,-11.7316743,313.4396,811.1438,5841.751
64,248.9254142,-11.7309310,439.5063,803.4331,27119.32
65,248.8517659,-11.7321760,1007.5291,804.9814,1841.195
66,248.9054742,-11.7310027,593.2659,801.7467,30732.67
67,248.8958956,-11.7307713,667.0970,798.8464,6359.883
68,248.9688990,-11.7289342,103.9751,792.6486,26898.87
69,248.9444718,-11.7304116,292.4989,801.5024,2595.694
70,248.8697263,-11.7297291,868.7630,787.7052,12033.95
71,248.9126668,-11.7280794,537.4691,779.5276,4379.478
72,248.9688203,-11.7269964,104.3560,777.3737,26514.85
73,248.8703930,-11.7283337,863.4626,776.7867,30985.9
74,248.8801133,-11.7278134,788.4524,773.7744,8740.529
75,248.8663537,-11.7269943,894.4568,765.7842,14988.63
76,248.9032928,-11.7278598,609.7250,776.7410,9773.482
77,248.9372698,-11.7258810,347.5060,764.9924,4096.288
78,248.9338771,-11.7260159,373.6821,765.6700,2011.446
79,248.9691065,-11.7255043,101.9745,765.6515,2494.763
80,248.9627773,-11.7259383,150.8288,768.3469,6330.633
81,248.9750011,-11.7244954,56.4045,758.3776,18909.32
82,248.9740172,-11.7245867,64.0015,758.9843,32481.7
83,248.9713593,-11.7237976,84.4046,752.4634,70868.59
84,248.8676918,-11.7255470,883.9738,754.5313,8932.535
85,248.9387122,-11.7243402,336.2053,753.0176,3070.933
86,248.9514894,-11.7243665,237.6854,754.6771,1966.432
87,248.9611534,-11.7241500,163.1421,754.0737,1761.101
88,248.9336374,-11.7242397,375.3254,751.6500,2430.77
89,248.9820720,-11.7229373,1.6992,746.9131,15918.43
90,248.9746205,-11.7198306,58.7943,721.5848,306681
91,248.9707963,-11.7216506,88.4949,735.4847,6113.159
92,248.8677628,-11.7247596,883.3371,748.3362,7587.59
93,248.9256801,-11.7218413,436.4060,731.8541,1843.534
94,248.9181563,-11.7237233,494.6389,745.8299,5156.086
95,248.9461246,-11.7208690,278.6461,726.5139,13607.18
96,248.9038355,-11.7212674,604.7829,724.8674,10557.49
97,248.9063132,-11.7213044,585.6815,725.4375,3288.789
98,248.8502726,-11.7220831,1017.8986,725.3029,3291.804
99,248.9525578,-11.7206590,229.0155,725.5911,5379.001
100,248.9698889,-11.7201188,95.3130,723.3136,2839.671
101,248.9798110,-11.7197381,18.7590,721.4507,3574.972
102,248.9686700,-11.7194147,104.6295,717.6277,9201.321
103,248.9196267,-11.7198519,482.8542,715.4970,3547.093
104,248.8588864,-11.7237778,951.6704,739.6124,4433.031
105,248.9456760,-11.7190361,281.8930,712.0228,9456.74
106,248.9716150,-11.7219714,82.2196,738.1064,46829.05
107,248.8984760,-11.7192523,645.8784,708.3890,2987.785
108,248.8749923,-11.7191593,826.9516,705.0239,3820.776
109,248.9711475,-11.7179420,85.3534,706.3087,2433.514
110,248.9466832,-11.7221892,274.4926,736.9779,16627.4
111,248.9501155,-11.7173417,247.4624,699.1793,11735.6
112,248.9111169,-11.7175309,548.2055,696.2515,2909.139
113,248.9419099,-11.7166548,310.6568,692.8346,13297.43
114,248.9043186,-11.7171371,600.5825,692.3825,16842.56
115,248.9692655,-11.7220293,100.3428,738.2935,2035.129
116,248.8541723,-11.7177153,987.3318,691.3268,2263.317
117,248.9407558,-11.7160473,319.4857,687.9181,10962.97
118,248.9662341,-11.7153917,122.9435,685.6553,9650.788
119,248.8671221,-11.7165994,887.3477,683.9784,6289.714
120,248.9038965,-11.7160464,603.7123,683.7426,12982.81
121,248.8886587,-11.7156876,721.1715,679.2036,6817.586
122,248.9040190,-11.7151029,602.6594,676.3237,2456.071
123,248.9386880,-11.7144673,335.2483,675.2354,2548.292
124,248.9104609,-11.7145095,552.9167,672.3748,14670.37
125,248.8620638,-11.7150723,926.1794,671.3837,8983.672
126,248.9643706,-11.7131607,137.0529,667.8665,16968.84
127,248.9090928,-11.7140527,563.4139,668.6219,6761.327
128,248.8905389,-11.7142396,706.5078,668.0076,3353.236
129,248.9634742,-11.7130771,143.9555,667.1059,10737.15
130,248.9034691,-11.7136521,606.7329,664.8319,17484.63
131,248.9619730,-11.7122525,155.4358,660.4380,30234.37
132,248.9818972,-11.7120860,1.7762,661.4064,11393.18
133,248.9581947,-11.7123384,184.5808,660.6841,6979.392
134,248.9158247,-11.7125678,511.3315,657.6832,1942.139
135,248.9112169,-11.7121438,546.8144,653.8229,3120.662
136,248.8881750,-11.7122253,724.5051,651.8737,3699.641
137,248.9036265,-11.7117523,605.3008,649.8837,19716.86
138,248.9650597,-11.7108002,131.4637,649.3492,6727.365
139,248.9818654,-11.7103875,1.8224,648.0222,10703.34
140,248.9685973,-11.7095993,104.0442,640.2932,17706.93
141,248.9559681,-11.7098366,201.4594,640.7205,10045.35
142,248.8555583,-11.7119301,975.9872,645.9050,8441.248
143,248.8508117,-11.7107616,1012.4573,636.1717,9600.355
144,248.9260891,-11.7095486,431.8316,635.0579,7125.26
145,248.9585508,-11.7093880,181.4912,637.4811,3456.391
146,248.9818041,-11.7087887,2.1080,635.4194,7325.924
147,248.9624501,-11.7088483,151.3596,633.6744,8636.408
148,248.8597037,-11.7101461,943.8184,632.3119,8216.85
149,248.9403046,-11.7088706,322.1328,631.3281,5437.3
150,248.9573071,-11.7089014,191.0249,633.5059,2515.39
151,248.8715737,-11.7078784,852.0263,615.7706,1500.693
152,248.9661848,-11.7063845,122.2729,614.6909,5586.053
153,248.8654781,-11.7068994,898.9207,607.3775,16339.98
154,248.9037269,-11.7052465,603.7792,598.6413,7723.159
155,248.9167723,-11.7050796,503.1610,598.7979,2637.242
156,248.8938838,-11.7045187,679.5995,591.8013,8189.023
157,248.9147769,-11.7037332,518.3930,587.9651,5137.205
158,248.9187995,-11.7032578,487.3186,584.6744,2579.081
159,248.9811026,-11.7014600,6.6597,577.6037,13744.47
160,248.9807038,-11.7002880,9.5981,568.3247,21390.79
161,248.8626950,-11.7014944,919.7673,564.4862,8946.598
162,248.8892537,-11.7009205,714.8930,562.9344,12217.28
163,248.8852274,-11.7010728,745.9593,563.6833,3624.718
164,248.9339006,-11.6996654,370.4509,558.0829,10595.97
165,248.8693479,-11.7007629,868.3795,559.4653,1064.898
166,248.8575163,-11.7004446,959.5832,555.6389,5314.649
167,248.9816554,-11.6981597,2.0101,551.6672,15871.79
168,248.9539536,-11.6988467,215.7158,553.9122,7165.58
169,248.9123757,-11.6981745,536.2699,543.9029,16167.13
170,248.8589968,-11.6990717,948.0108,544.9883,1145.107
171,248.8758662,-11.6985703,817.8627,542.9203,9460.994
172,248.9815736,-11.6962735,2.4199,536.7980,25875.07
173,248.9521635,-11.6972736,229.3372,541.3157,2089.875
174,248.9725288,-11.6964739,72.1937,537.3406,8653.296
175,248.9181430,-11.6972972,491.6933,537.6420,2433.348
176,248.9439746,-11.6967936,292.4314,536.6027,6850.07
177,248.9322452,-11.6965942,382.8610,533.7000,3213.107
178,248.8988933,-11.6965924,640.0594,529.9203,18066.77
179,248.9773912,-11.6957447,34.6112,532.1531,2133.02
180,248.9241367,-11.6956491,445.2818,525.3359,34672.41
181,248.9498919,-11.6957843,246.6822,529.3239,1731.08
182,248.9223967,-11.6957669,458.7141,526.0673,9501.469
183,248.9217838,-11.6950451,463.3568,520.3121,14372.81
184,248.9661933,-11.6946369,120.8372,522.1440,2634.654
185,248.9727808,-11.6945234,70.0229,522.0036,15940
186,248.9816620,-11.6943409,1.5121,521.5831,4561.557
187,248.9056072,-11.6951101,588.1139,518.9987,7473.016
188,248.9441011,-11.6944570,291.1844,518.2089,5816.092
189,248.8868646,-11.6952083,732.6628,517.6656,1968.684
190,248.8608962,-11.6948866,932.8871,512.2292,13981.96
191,248.9603510,-11.6938417,165.7985,515.2120,3808.616
192,248.9814602,-11.6920481,2.8001,503.4978,21684.13
193,248.8633340,-11.6944281,914.0351,508.8886,2860.935
194,248.8900469,-11.6939602,707.9782,508.1899,4741.629
