source_id,ra,dec
4331223382688514560,248.97448214203874,-11.635204671767836
4331224791437788032,248.99745208814227,-11.635565261371678
4331224069883281792,248.8416190537446,-11.635188527540349
4331204690990735104,248.93337421497333,-11.745681876178503
4331204931508903808,248.89826349869233,-11.745770675325343
4331224104243023360,248.8645132190614,-11.63279669563615
4331209810591750912,248.98549267903883,-11.748355976704099
4331223932444331904,248.88404866006252,-11.63337906083854
4331211154917448704,248.99302565349026,-11.688559624395838
4331224241681976448,248.91250114505715,-11.632939680130582
4331210807024184064,248.9409325376389,-11.721607974692835
4331224241681976064,248.89706473969372,-11.633328462999254
4331223554487208576,248.9503814314073,-11.633243199769655
4331209810591751168,248.99874991240375,-11.747778347819624
4331223382688519936,248.96952238941356,-11.630257286853228
4331224172962502528,248.85192305774578,-11.630314346350179
4331223932444333056,248.8790583616861,-11.630437731305744
4331209707512528896,248.97637493506627,-11.755209222747615
4331210497786513024,248.95312855634347,-11.753924376209515
4331216545100470400,248.85942690193505,-11.748586737090015
4331209741872268672,248.96571938371275,-11.753501370571666
4331209711808433408,248.97941376098257,-11.75369013398208
4331210983119641088,248.93746699798632,-11.70473223594013
4331222592414451456,248.9028720380636,-11.71467060660844
4331223520127474048,248.9336632841563,-11.630589751754913
4331209776232008960,248.9767456058804,-11.752013572674842
4331223485767722880,248.9237775537864,-11.64149395387598
4331213040407261696,248.99974076778216,-11.638963992174004
4331217816410843136,248.84947712306572,-11.686094264161534
4331222626774204288,248.91264350825853,-11.698555663244035
4331222695493689984,248.90688132815995,-11.68952435730971
4331222802868659072,248.91815801166157,-11.683657012093308
4331222974667354112,248.8841864927062,-11.675524445152694
4331210738304722048,248.9705319502173,-11.707123107408007
4331223455703691648,248.93416370694828,-11.640730829881756
4331224241681968896,248.9099795138876,-11.640097021378411
4331223313969032192,248.98025270050508,-11.640669541603659
4331204965868656640,248.9072176014386,-11.727784298105325
4331223627502384128,248.93863632334535,-11.632857314623067
4331222832932652928,248.92949280094197,-11.678311224537115
4331223451407985152,248.93351584188156,-11.641768995942565
4331222695493692032,248.90704445808282,-11.685589042430761
4331224001163798528,248.8455947315711,-11.642100347093239
4331222764213172096,248.936656233246,-11.68231605800183
4331211013182644736,248.94938177280335,-11.689225254857984
4331223554487203072,248.94478274529365,-11.638537471044199
4331210502082116224,248.95376593055747,-11.749174055510627
4331223313969028096,248.9805850416664,-11.644173342400046
4331223348328771968,248.96426204958541,-11.63902956775551
4331209707512526208,248.98624336541965,-11.758542598392593
4331223554487201920,248.94691598875815,-11.639268366054532
4331222631069966592,248.90821207721476,-11.701790920438707
4331210944463156992,248.95184135237756,-11.70141664954705
4331204759710202624,248.89848750398377,-11.756360577973442
4331224005458804608,248.84532193202674,-11.641011772997839
4331216854338140800,248.85245599057959,-11.716474065856904
